collateral_id,loan_id,collateral_type,collateral_value,valuation_date
7000205,501088,Equipment,558452.8,2026-04-11
7000206,501178,Real Estate,153991.77,2025-07-04
7000207,502888,Equipment,78529.5,2023-02-08
7000208,503289,Other,41887.43,2025-06-17
7000209,504260,Real Estate,23299.18,2026-08-05
7000210,501914,Real Estate,200179.88,2026-03-16
7000211,503598,Equipment,174565.24,2025-04-12
7000212,501758,Real Estate,19999.13,2024-01-30
7000213,501271,Real Estate,98559.01,2024-06-23
7000214,501551,Commercial Property,90642.71,2023-04-12
7000215,501009,Real Estate,34682.32,2024-08-13
7000216,503652,Real Estate,387164.68,2026-06-30
7000217,504348,Vehicle,6881.3,2025-02-15
7000218,500281,Vehicle,8472.67,2024-09-10
7000219,500379,Commercial Property,36685.82,2026-02-14
7000220,502181,Equipment,257936.78,2023-12-02
7000221,501928,Real Estate,21377.46,2024-10-13
7000222,503299,Equipment,16481.89,2025-01-21
7000223,504453,Real Estate,110150.68,2026-02-17
7000224,502139,Equipment,22655.17,2025-02-12
7000225,503210,Vehicle,22652.47,2024-12-02
7000226,503130,Equipment,42075.15,2026-06-13
7000227,502879,Commercial Property,18534.4,2023-11-25
7000228,501788,Vehicle,25058.02,2025-11-28
7000229,500096,Equipment,414955.53,2024-05-26
7000230,503542,Real Estate,145922.89,2023-10-09
7000231,504400,Equipment,92385.73,2025-12-09
7000232,502683,Real Estate,187516.37,2024-03-16
7000233,501332,Other,267872.88,2023-05-11
7000234,504631,Real Estate,64146.11,2023-10-10
7000235,502862,Equipment,275962.61,2023-03-19
7000236,502350,Real Estate,12690.42,2024-01-03
7000237,503283,Real Estate,16324.71,2026-02-06
7000238,504723,Other,6933.05,2023-02-04
7000239,501064,Equipment,62905.94,2026-01-19
7000240,504607,Real Estate,466449.56,2025-08-26
7000241,501919,Vehicle,54232.76,2023-07-08
7000242,501625,Other,31293.96,2023-12-01
7000243,504790,Real Estate,41587.31,2023-09-27
7000244,500513,Vehicle,209425.71,2023-01-18
7000245,502685,Real Estate,246288.25,2024-06-17
7000246,504118,Vehicle,8069.25,2024-04-17
7000247,504450,Real Estate,7656.24,2025-05-11
7000248,500951,Real Estate,276645.91,2026-02-22
7000249,500041,Vehicle,14769.81,2025-03-22
7000250,502015,Commercial Property,574400.06,2023-12-30
7000251,500963,Equipment,55303.85,2023-06-19
7000252,501301,Real Estate,26607.89,2023-02-24
7000253,502427,Real Estate,231506.6,2026-02-28
7000254,503160,Vehicle,250401.76,2024-01-28
7000255,501924,Real Estate,441613.19,2026-01-07
7000256,501565,Real Estate,23939.25,2025-03-02
7000257,503392,Real Estate,90728.0,2025-06-29
7000258,501541,Equipment,17678.62,2026-06-02
7000259,503133,Real Estate,455827.53,2023-10-15
7000260,500680,Vehicle,381424.67,2024-12-06
7000261,504366,Real Estate,268269.07,2025-07-14
7000262,503062,Equipment,237391.27,2024-08-18
7000263,500717,Vehicle,429494.31,2025-02-08
7000264,500343,Equipment,14889.49,2024-04-09
7000265,500813,Vehicle,20696.14,2026-04-29
7000266,502481,Other,150380.3,2023-10-28
7000267,503745,Vehicle,4198.75,2025-04-04
7000268,502382,Vehicle,37657.72,2023-01-26
7000269,500586,Commercial Property,17968.2,2023-02-17
7000270,501965,Vehicle,47343.28,2024-07-22
7000271,502736,Real Estate,662632.76,2023-04-28
7000272,504999,Vehicle,59064.51,2023-06-21
7000273,504865,Equipment,84680.97,2026-07-28
7000274,503251,Equipment,161385.18,2023-06-02
7000275,504125,Other,22107.51,2023-02-13
7000276,501151,Equipment,288055.51,2025-07-28
7000277,504379,Real Estate,136237.11,2026-06-07
7000278,501356,Equipment,7386.43,2026-01-18
7000279,503687,Vehicle,40470.52,2023-05-17
7000280,504186,Commercial Property,23737.17,2024-05-10
7000281,501267,Other,331953.22,2024-03-05
7000282,502644,Real Estate,426048.47,2025-07-11
7000283,503827,Commercial Property,8102.48,2025-02-05
7000284,504007,Commercial Property,110371.47,2024-05-13
7000285,501600,Vehicle,35185.62,2023-12-12
7000286,501482,Commercial Property,4767.1,2023-11-08
7000287,501674,Real Estate,9658.13,2024-12-09
7000288,502111,Equipment,7780.04,2024-08-12
7000289,501457,Real Estate,21056.8,2025-09-02
7000290,502629,Real Estate,37733.09,2026-07-11
7000291,500667,Real Estate,22786.68,2024-06-27
7000292,500277,Equipment,24009.89,2023-01-11
7000293,500991,Real Estate,318235.78,2023-07-20
7000294,501640,Equipment,110540.71,2026-06-15
7000295,501409,Equipment,1617.96,2025-08-12
7000296,501330,Real Estate,10372.8,2024-12-11
7000297,501270,Other,224563.2,2025-05-18
7000298,500905,Real Estate,14179.3,2023-10-26
7000299,501231,Real Estate,437991.69,2025-03-19
7000300,502804,Real Estate,396036.07,2023-02-22
7000301,504159,Vehicle,11561.51,2025-12-22
7000302,502676,Vehicle,9741.58,2025-03-10
7000303,504558,Vehicle,148386.79,2024-02-09
7000304,501564,Vehicle,18038.07,2025-11-04
7000305,502896,Real Estate,51494.2,2025-03-13
7000306,504531,Real Estate,164503.98,2023-09-03
7000307,500420,Real Estate,34100.58,2023-07-01
7000308,500414,Vehicle,12842.19,2026-04-03
7000309,504857,Real Estate,71917.04,2023-04-14
7000310,501535,Real Estate,33515.28,2025-04-12
7000311,500199,Real Estate,166384.65,2024-09-12
7000312,504246,Vehicle,29019.44,2023-07-14
7000313,502017,Vehicle,139385.03,2026-07-30
7000314,504695,Equipment,476795.56,2024-06-09
7000315,502101,Real Estate,473658.33,2025-07-13
7000316,501970,Equipment,559511.43,2024-02-08
7000317,500116,Other,207260.97,2025-09-27
7000318,504826,Real Estate,355327.87,2024-01-24
7000319,500416,Real Estate,4731.14,2025-04-03
7000320,504686,Real Estate,32792.1,2023-10-08
7000321,502687,Equipment,6287.63,2026-03-28
7000322,502895,Real Estate,939768.41,2023-01-22
7000323,501693,Vehicle,49471.49,2024-12-08
7000324,501771,Other,168594.82,2025-03-01
7000325,504672,Real Estate,15546.33,2023-12-04
7000326,504051,Equipment,706204.56,2023-01-04
7000327,501732,Equipment,32196.97,2023-02-10
7000328,501360,Vehicle,40855.37,2024-07-25
7000329,502748,Real Estate,128572.37,2025-12-05
7000330,504947,Vehicle,162235.28,2023-06-12
7000331,502192,Real Estate,37731.91,2024-02-17
7000332,502445,Real Estate,49039.4,2024-05-16
7000333,502335,Equipment,34284.04,2023-11-13
7000334,501078,Vehicle,77602.55,2023-05-22
7000335,501378,Real Estate,453426.76,2023-10-15
7000336,502449,Vehicle,20894.08,2024-04-07
7000337,500873,Vehicle,49343.63,2023-10-30
7000338,503484,Real Estate,22625.37,2024-07-15
7000339,500018,Equipment,31263.36,2024-12-20
7000340,501187,Equipment,8539.03,2025-04-14
7000341,504586,Vehicle,14298.76,2025-05-28
7000342,502195,Vehicle,175252.72,2026-05-26
7000343,503835,Real Estate,8523.89,2024-04-30
7000344,503730,Real Estate,245628.09,2025-11-27
7000345,500423,Vehicle,23175.46,2024-12-14
7000346,501843,Commercial Property,19532.7,2024-10-30
7000347,500683,Vehicle,20689.42,2025-11-20
7000348,501989,Real Estate,652132.79,2025-04-02
7000349,504746,Commercial Property,90818.78,2024-09-19
7000350,502362,Equipment,48360.76,2024-05-17
7000351,504533,Real Estate,14407.92,2025-10-18
7000352,500134,Real Estate,10797.37,2023-06-12
7000353,500240,Real Estate,108832.15,2026-03-26
7000354,500595,Other,158087.08,2024-01-27
7000355,501259,Other,126406.5,2026-06-20
7000356,504548,Vehicle,10061.7,2025-11-21
7000357,500693,Vehicle,43311.14,2025-08-20
7000358,504555,Real Estate,159255.36,2025-11-06
7000359,503291,Equipment,826030.84,2023-11-26
7000360,503782,Equipment,468265.02,2023-05-05
7000361,502608,Vehicle,22285.29,2024-08-24
7000362,503787,Real Estate,120873.07,2025-12-19
7000363,504459,Vehicle,80698.06,2024-12-25
7000364,500467,Equipment,538855.09,2026-05-08
7000365,500017,Commercial Property,7305.89,2024-11-02
7000366,500561,Commercial Property,114674.06,2023-04-02
7000367,502600,Real Estate,15737.32,2023-06-11
7000368,501603,Vehicle,56926.54,2024-02-15
7000369,504569,Real Estate,254820.71,2026-05-29
7000370,504053,Real Estate,37326.26,2025-06-05
7000371,503913,Equipment,55164.96,2023-11-04
7000372,502462,Real Estate,5584.39,2025-07-22
7000373,502972,Real Estate,45999.52,2025-09-03
7000374,501011,Equipment,230116.55,2024-02-28
7000375,503508,Real Estate,20426.64,2023-07-10
7000376,503794,Real Estate,59213.38,2023-12-28
7000377,500494,Vehicle,16124.73,2025-11-06
7000378,500749,Equipment,541038.52,2026-04-17
7000379,500575,Real Estate,13495.69,2023-09-02
7000380,500941,Real Estate,15519.51,2023-06-06
7000381,503491,Real Estate,313351.61,2023-06-05
7000382,502072,Other,183405.29,2026-03-06
7000383,501754,Vehicle,306272.91,2026-04-27
7000384,500772,Vehicle,20377.83,2025-07-20
7000385,504278,Equipment,436289.05,2023-08-06
7000386,500928,Equipment,10446.86,2023-01-26
7000387,504498,Real Estate,280457.62,2025-09-30
7000388,502272,Other,11541.78,2026-01-12
7000389,501468,Equipment,271126.29,2025-08-08
7000390,503935,Equipment,28235.78,2024-10-28
7000391,502899,Other,5727.65,2024-09-13
7000392,501926,Commercial Property,14978.03,2025-06-09
7000393,500865,Real Estate,119144.67,2024-04-25
7000394,504636,Real Estate,37103.37,2025-03-29
7000395,501483,Commercial Property,150852.18,2026-07-15
7000396,504411,Real Estate,38245.88,2025-07-04
7000397,501673,Vehicle,87328.88,2024-06-26
7000398,503990,Vehicle,12043.66,2025-03-24
7000399,502738,Vehicle,77219.22,2023-12-27
7000400,504714,Real Estate,378859.58,2023-04-23
7000401,501080,Real Estate,122542.8,2026-05-17
7000402,501994,Equipment,221336.91,2025-05-29
7000403,502043,Vehicle,291772.62,2023-09-24
7000404,503110,Real Estate,24806.12,2026-08-07
7000405,504189,Equipment,47695.02,2023-08-10
7000406,503731,Real Estate,49149.76,2025-08-08
7000407,503403,Vehicle,8323.79,2025-06-29
7000408,503851,Equipment,3935.08,2025-02-26
7000409,500514,Equipment,576972.2,2024-04-23
7000410,504877,Real Estate,120215.09,2023-04-28
7000411,500392,Vehicle,93404.3,2026-05-09
7000412,502859,Equipment,15171.4,2023-12-17
7000413,501268,Vehicle,75129.85,2024-11-04
7000414,504319,Real Estate,57515.53,2026-05-04
7000415,501214,Real Estate,11559.85,2026-02-21
7000416,500074,Other,379367.93,2025-10-09
7000417,502725,Real Estate,66070.13,2025-02-05
7000418,502934,Real Estate,251806.72,2023-08-08
7000419,504815,Vehicle,279990.67,2024-03-04
7000420,501181,Vehicle,95686.41,2025-08-18
7000421,503693,Vehicle,5191.54,2025-11-04
7000422,503344,Vehicle,307016.63,2024-01-02
7000423,502580,Real Estate,227920.51,2025-03-22
7000424,500319,Real Estate,69137.85,2025-09-23
7000425,503018,Real Estate,139959.27,2025-04-09
7000426,501868,Equipment,28750.96,2024-01-12
7000427,503153,Equipment,58527.74,2025-10-12
7000428,501349,Real Estate,12026.23,2023-10-09
7000429,501719,Real Estate,149155.06,2023-02-04
7000430,503088,Equipment,1559.77,2024-10-05
7000431,500998,Real Estate,22595.14,2025-05-01
7000432,502198,Vehicle,221858.86,2025-01-26
7000433,500314,Other,253192.62,2025-10-27
7000434,503983,Vehicle,51760.32,2025-07-03
7000435,504609,Real Estate,51691.84,2023-11-12
7000436,500067,Real Estate,23830.89,2024-11-25
7000437,502583,Real Estate,97835.31,2024-08-01
7000438,503644,Real Estate,5998.79,2025-08-09
7000439,502937,Real Estate,27582.54,2026-07-07
7000440,502473,Commercial Property,18795.89,2023-05-30
7000441,501398,Equipment,12129.66,2025-01-15
7000442,504200,Real Estate,38477.05,2025-09-25
7000443,503764,Real Estate,13592.23,2024-07-03
7000444,502131,Equipment,137064.51,2026-06-28
7000445,502671,Vehicle,17749.26,2024-11-01
7000446,500536,Real Estate,8597.76,2024-12-26
7000447,503302,Vehicle,11937.82,2026-08-18
7000448,501553,Other,4453.64,2025-08-06
7000449,500130,Equipment,95356.34,2023-02-11
7000450,500137,Equipment,29474.59,2023-05-15
7000451,500354,Equipment,370124.85,2026-04-07
7000452,501675,Real Estate,11229.74,2024-11-06
7000453,503984,Other,91900.76,2023-10-30
7000454,503821,Vehicle,77477.71,2024-11-03
7000455,500189,Real Estate,463714.72,2023-11-19
7000456,502369,Other,93015.24,2024-12-24
7000457,502740,Commercial Property,268838.42,2023-05-14
7000458,500597,Equipment,96632.38,2026-02-03
7000459,503310,Real Estate,343955.31,2023-01-04
7000460,501799,Real Estate,73097.3,2025-03-11
7000461,500617,Vehicle,455158.06,2025-01-29
7000462,504067,Real Estate,438120.65,2023-03-31
7000463,501168,Real Estate,247101.06,2024-01-18
7000464,500208,Commercial Property,8997.9,2023-12-02
7000465,501552,Other,114686.57,2026-08-11
7000466,502228,Vehicle,165334.67,2026-03-29
7000467,500805,Real Estate,260900.57,2024-06-17
7000468,503571,Real Estate,20798.46,2024-07-26
7000469,503360,Vehicle,17482.08,2026-08-30
7000470,500371,Real Estate,5815.82,2023-09-06
7000471,504950,Other,183063.11,2024-09-17
7000472,502858,Vehicle,14179.67,2026-03-04
7000473,504245,Real Estate,22289.4,2024-12-17
7000474,500568,Vehicle,3864.29,2023-01-20
7000475,503466,Real Estate,309792.11,2024-02-27
7000476,500456,Vehicle,427132.69,2024-01-22
7000477,503135,Real Estate,173760.51,2026-03-28
7000478,503030,Real Estate,26318.62,2025-05-26
7000479,503348,Commercial Property,118993.65,2024-06-20
7000480,501250,Vehicle,3313.1,2025-02-26
7000481,501899,Real Estate,333596.81,2025-07-21
7000482,504561,Vehicle,171325.79,2024-12-12
7000483,501805,Equipment,27380.44,2026-07-09
7000484,502373,Real Estate,9375.27,2024-05-07
7000485,503023,Vehicle,8857.54,2024-03-21
7000486,502376,Vehicle,53190.82,2023-02-14
7000487,502792,Real Estate,24005.07,2024-09-09
7000488,503196,Vehicle,348272.94,2026-08-14
7000489,500468,Real Estate,14230.82,2025-12-26
7000490,504904,Real Estate,33061.79,2023-11-20
7000491,504153,Other,378225.9,2025-07-03
7000492,502926,Real Estate,585884.45,2025-08-14
7000493,504171,Real Estate,561924.24,2026-06-30
7000494,501352,Real Estate,34648.61,2023-09-30
7000495,500429,Commercial Property,38404.1,2025-08-28
7000496,500504,Real Estate,77333.77,2026-02-01
7000497,504579,Real Estate,445814.36,2024-03-14
7000498,504930,Real Estate,172163.11,2025-06-02
7000499,501882,Real Estate,20957.26,2023-07-08
7000500,503482,Vehicle,73200.63,2025-02-07
7000501,503140,Equipment,256212.94,2024-07-04
7000502,503036,Real Estate,48169.34,2026-02-24
7000503,504765,Equipment,32399.68,2025-04-20
7000504,501505,Vehicle,372274.35,2026-02-26
7000505,501073,Commercial Property,12495.63,2023-11-22
7000506,504149,Commercial Property,6364.33,2023-01-02
7000507,504874,Commercial Property,384087.01,2026-01-28
7000508,503060,Vehicle,26025.5,2023-06-19
7000509,501418,Real Estate,105619.86,2024-01-31
7000510,504006,Real Estate,19122.22,2026-04-15
7000511,502657,Real Estate,21617.03,2023-03-09
7000512,504108,Real Estate,156398.43,2023-05-17
7000513,502507,Commercial Property,70341.88,2023-03-28
7000514,500721,Equipment,120687.39,2024-12-10
7000515,500021,Commercial Property,7820.01,2023-04-26
7000516,502866,Equipment,536636.6,2025-01-16
7000517,502009,Other,134654.27,2025-02-19
7000518,500985,Equipment,179705.42,2025-09-02
7000519,503897,Real Estate,65237.08,2025-12-26
7000520,502047,Real Estate,235106.32,2024-10-25
7000521,501372,Vehicle,177495.36,2024-11-20
7000522,501379,Real Estate,65489.16,2025-09-27
7000523,503891,Other,199687.39,2023-02-02
7000524,500295,Vehicle,96174.42,2025-08-07
7000525,503750,Real Estate,310613.47,2024-01-21
7000526,500243,Equipment,198626.79,2026-02-27
7000527,501534,Real Estate,80800.85,2023-03-31
7000528,501977,Vehicle,20850.5,2023-05-31
7000529,503957,Real Estate,14586.31,2026-02-06
7000530,504922,Vehicle,210550.36,2026-01-27
7000531,503774,Vehicle,129271.55,2026-08-11
7000532,501344,Vehicle,247297.65,2026-01-31
7000533,503556,Equipment,28249.56,2024-06-05
7000534,500529,Vehicle,15575.47,2024-12-22
7000535,500806,Real Estate,19471.12,2026-02-03
7000536,503336,Vehicle,16882.91,2023-03-28
7000537,502510,Vehicle,21391.03,2023-03-18
7000538,502615,Equipment,275506.03,2024-07-18
7000539,502056,Real Estate,4093.22,2024-03-18
7000540,504889,Real Estate,686075.14,2023-01-08
7000541,504818,Equipment,492261.33,2024-08-28
7000542,503141,Equipment,10714.27,2023-11-21
7000543,501354,Vehicle,41004.19,2025-09-05
7000544,503352,Real Estate,35574.65,2024-04-03
7000545,502274,Vehicle,8370.34,2024-06-07
7000546,503999,Real Estate,120643.28,2023-01-24
7000547,503180,Vehicle,251070.5,2024-01-30
7000548,502987,Real Estate,66243.02,2023-11-22
7000549,501937,Real Estate,707395.29,2023-01-06
7000550,502651,Vehicle,2048.23,2024-06-29
7000551,501351,Real Estate,147233.99,2025-02-23
7000552,503230,Vehicle,15500.09,2025-06-18
7000553,504285,Other,10916.89,2026-05-15
7000554,503631,Real Estate,538266.65,2023-07-07
7000555,503034,Vehicle,64486.5,2023-02-10
7000556,502308,Commercial Property,35329.32,2023-03-27
7000557,501766,Real Estate,73794.88,2025-11-24
7000558,504259,Real Estate,49708.56,2025-09-03
7000559,501126,Real Estate,13218.19,2025-04-13
7000560,501734,Other,303322.67,2025-01-30
7000561,502310,Real Estate,85957.24,2023-12-26
7000562,501335,Commercial Property,132254.13,2023-09-22
7000563,503103,Real Estate,40004.61,2025-06-04
7000564,503195,Real Estate,33869.74,2023-07-21
