payment_id,loan_id,payment_date,scheduled_amount,actual_payment,principal_paid,interest_paid,days_past_due,payment_status
9000033,500011,2021-01-15,1964.8,1740.42,1734.54,5.88,60,Late
9000034,500012,2021-03-16,8223.93,7847.95,7821.02,26.93,30,Late
9000035,500012,2021-06-14,8761.56,7358.88,7330.18,28.69,30,Late
9000036,500012,2021-09-12,8177.7,6881.5,6854.72,26.78,45,Late
9000037,500013,2023-08-10,10292.17,9275.22,9183.79,91.43,45,Late
9000038,500013,2023-11-08,10518.96,10738.69,10645.25,93.44,15,Late
9000039,500013,2024-02-06,10686.65,9021.34,8926.41,94.93,5,Late
9000040,500014,2025-05-08,1152.9,1023.15,1011.22,11.93,10,Late
9000041,500014,2025-08-06,1210.84,1199.25,1186.72,12.53,0,Paid
9000042,500014,2025-11-04,1130.42,1155.29,1143.59,11.7,0,Paid
9000043,500015,2024-04-19,1140.16,1128.46,1123.05,5.42,60,Late
9000044,500015,2024-07-18,1210.49,1049.44,1043.69,5.75,60,Late
9000045,500015,2024-10-16,1160.07,1165.48,1159.97,5.51,60,Late
9000046,500016,2022-10-09,6069.56,6148.67,6116.35,32.32,0,Paid
9000047,500016,2023-01-07,6009.81,6171.49,6139.49,32.0,0,Paid
9000048,500016,2023-04-07,6080.01,6068.4,6036.03,32.38,0,Paid
9000049,500017,2021-05-05,618.85,632.25,626.95,5.3,15,Late
9000050,500017,2021-08-03,624.61,517.49,512.14,5.35,60,Late
9000051,500017,2021-11-01,655.23,523.31,517.7,5.61,45,Late
9000052,500018,2022-01-07,1559.39,1547.02,1531.96,15.06,0,Paid
9000053,500018,2022-04-07,1522.4,1462.7,1447.99,14.7,30,Late
9000054,500018,2022-07-06,1475.75,1214.72,1200.46,14.25,5,Late
9000055,500019,2021-09-16,6771.08,6175.33,6103.56,71.77,15,Late
9000056,500019,2021-12-15,6686.85,6847.25,6776.37,70.88,0,Paid
9000057,500019,2022-03-15,7125.94,7087.05,7011.52,75.53,15,Late
9000058,500020,2025-10-30,198.16,201.08,200.31,0.77,0,Paid
9000059,500020,2026-01-28,182.28,154.81,154.1,0.71,5,Late
9000060,500020,2026-04-28,196.91,197.33,196.56,0.77,0,Paid
9000061,500021,2023-02-05,556.99,548.06,545.32,2.73,0,Paid
9000062,500021,2023-05-06,582.59,586.06,583.2,2.86,0,Paid
9000063,500021,2023-08-04,561.11,431.5,428.74,2.75,30,Late
9000064,500022,2023-08-20,2250.46,2266.94,2252.08,14.85,0,Paid
9000065,500022,2023-11-18,2424.27,2382.42,2366.42,16.0,0,Paid
9000066,500022,2024-02-16,2224.49,2210.25,2195.57,14.68,0,Paid
9000067,500023,2024-08-17,2159.58,2185.95,2168.19,17.76,30,Late
9000068,500023,2024-11-15,2105.07,1663.51,1646.19,17.31,5,Late
9000069,500023,2025-02-13,2181.6,2193.31,2175.37,17.94,0,Paid
9000070,500024,2023-07-28,1784.69,1736.92,1727.86,9.06,0,Paid
9000071,500024,2023-10-26,1921.33,1966.71,1956.96,9.75,0,Paid
9000072,500024,2024-01-24,1937.62,1577.82,1567.99,9.83,15,Late
9000073,500025,2023-09-03,1391.78,1101.87,1095.8,6.07,45,Late
9000074,500025,2023-12-02,1409.87,1240.78,1234.64,6.14,60,Late
9000075,500025,2024-03-01,1428.78,1268.96,1262.73,6.23,60,Late
9000076,500026,2023-12-24,473.97,385.04,382.24,2.8,30,Late
9000077,500026,2024-03-23,464.71,474.11,471.36,2.75,0,Paid
9000078,500026,2024-06-21,476.82,422.04,419.22,2.82,5,Late
9000079,500027,2021-01-09,872.05,872.39,863.46,8.93,0,Paid
9000080,500027,2021-04-09,822.05,826.69,818.27,8.42,0,Paid
9000081,500027,2021-07-08,850.2,855.71,847.0,8.71,0,Paid
9000082,500028,2019-08-22,11017.71,11272.02,11219.96,52.06,0,Paid
9000083,500028,2019-11-20,10865.22,10722.72,10671.38,51.34,0,Paid
9000084,500028,2020-02-18,10198.42,10461.51,10413.32,48.19,0,Paid
9000085,500029,2025-11-03,14852.06,11864.54,11707.6,156.94,5,Late
9000086,500029,2026-02-01,14609.43,14877.89,14723.51,154.37,0,Paid
9000087,500029,2026-05-02,14467.2,14699.09,14546.22,152.87,0,Paid
9000088,500030,2021-01-04,3806.32,2966.14,2936.51,29.63,90,Late
9000089,500030,2021-04-04,3561.5,2883.68,2855.95,27.72,5,Late
9000090,500030,2021-07-03,3463.95,3424.66,3397.7,26.96,0,Paid
9000091,500031,2021-04-09,738.82,737.57,728.9,8.66,0,Paid
9000092,500031,2021-07-08,769.39,758.31,749.28,9.02,0,Paid
9000093,500031,2021-10-06,743.75,724.17,715.45,8.72,0,Paid
9000094,500032,2022-08-05,724.7,704.39,699.55,4.84,0,Paid
9000095,500032,2022-11-03,788.61,771.59,766.33,5.26,0,Paid
9000096,500032,2023-02-01,770.65,771.96,766.82,5.14,0,Paid
9000097,500033,2019-03-06,1502.81,1183.41,1171.73,11.67,5,Late
9000098,500033,2019-06-04,1575.69,1408.92,1396.68,12.24,45,Late
9000099,500033,2019-09-02,1578.35,1596.91,1584.66,12.26,0,Paid
9000100,500034,2025-10-24,3322.44,3351.09,3331.82,19.27,0,Paid
9000101,500034,2026-01-22,3241.77,3226.14,3207.33,18.8,30,Late
9000102,500034,2026-04-22,3503.47,3448.97,3428.65,20.32,0,Paid
9000103,500035,2024-07-11,6756.95,6769.59,6747.3,22.3,0,Paid
9000104,500035,2024-10-09,6568.73,6383.09,6361.42,21.68,0,Paid
9000105,500035,2025-01-07,6868.03,6799.06,6776.39,22.66,0,Paid
9000106,500036,2024-08-02,7415.47,6142.5,6110.49,32.01,5,Late
9000107,500036,2024-10-31,6886.03,6992.33,6962.6,29.72,0,Paid
9000108,500036,2025-01-29,7297.24,7289.64,7258.14,31.5,0,Paid
9000109,500037,2023-07-11,13207.92,13371.36,13283.19,88.16,0,Paid
9000110,500037,2023-10-09,12814.44,12869.72,12784.19,85.54,0,Paid
9000111,500037,2024-01-07,12671.65,12613.69,12529.11,84.58,0,Paid
9000112,500038,2025-04-29,632.24,627.48,623.39,4.09,0,Paid
9000113,500038,2025-07-28,669.38,656.3,651.98,4.33,0,Paid
9000114,500038,2025-10-26,689.7,708.4,703.94,4.46,0,Paid
9000115,500039,2025-07-22,2049.52,1993.91,1969.59,24.32,0,Paid
9000116,500039,2025-10-20,2027.82,2069.25,2045.18,24.06,5,Late
9000117,500039,2026-01-18,2018.0,1610.03,1586.08,23.95,15,Late
9000118,500040,2022-07-26,14491.36,14701.72,14651.24,50.48,0,Paid
9000119,500040,2022-10-24,15444.58,15006.49,14952.69,53.8,0,Paid
9000120,500040,2023-01-22,14633.8,14584.76,14533.79,50.97,0,Paid
9000121,500041,2022-10-06,2406.9,2271.4,2248.37,23.03,30,Late
9000122,500041,2023-01-04,2423.33,2479.78,2456.59,23.18,0,Paid
9000123,500041,2023-04-04,2521.98,2546.79,2522.66,24.13,0,Paid
9000124,500042,2025-11-30,8210.45,8137.76,8066.81,70.95,0,Paid
9000125,500042,2026-02-28,8245.42,7648.8,7577.55,71.25,5,Late
9000126,500042,2026-05-29,8559.82,8594.26,8520.29,73.97,0,Paid
9000127,500043,2024-01-23,1941.44,1633.08,1616.14,16.94,45,Late
9000128,500043,2024-04-22,1924.4,1941.44,1924.65,16.79,0,Paid
9000129,500043,2024-07-21,2030.74,2022.01,2004.29,17.72,0,Paid
9000130,500044,2024-02-12,2327.33,2184.85,2165.05,19.8,15,Late
9000131,500044,2024-05-12,2497.76,2532.89,2511.64,21.25,45,Late
9000132,500044,2024-08-10,2334.24,1767.61,1747.75,19.86,60,Late
9000133,500045,2019-02-07,11351.74,11683.83,11650.44,33.39,0,Paid
9000134,500045,2019-05-08,11752.14,8879.02,8844.45,34.57,10,Late
9000135,500045,2019-08-06,11235.3,11158.26,11125.21,33.05,0,Paid
9000136,500046,2019-09-21,138.95,113.49,113.07,0.43,90,Late
9000137,500046,2019-12-20,137.16,123.44,123.02,0.42,45,Late
9000138,500046,2020-03-19,146.85,147.59,147.14,0.45,60,Late
9000139,500047,2021-04-25,5537.84,4587.91,4542.27,45.64,10,Late
9000140,500047,2021-07-24,5824.57,5764.52,5716.51,48.0,0,Paid
9000141,500047,2021-10-22,5423.04,5301.95,5257.25,44.69,0,Paid
9000142,500048,2025-04-16,1115.99,1108.1,1101.8,6.3,0,Paid
9000143,500048,2025-07-15,1209.39,1021.54,1014.72,6.82,5,Late
9000144,500048,2025-10-13,1111.9,1113.17,1106.9,6.27,0,Paid
9000145,500049,2022-03-07,13092.15,13104.71,13008.59,96.12,0,Paid
9000146,500049,2022-06-05,14134.27,14096.58,13992.81,103.77,0,Paid
9000147,500049,2022-09-03,13599.33,13701.46,13601.62,99.84,0,Paid
9000148,500050,2021-03-18,2314.31,2256.69,2239.12,17.57,0,Paid
9000149,500050,2021-06-16,2264.97,2225.67,2208.48,17.19,0,Paid
9000150,500050,2021-09-14,2176.75,2124.22,2107.7,16.53,0,Paid
9000151,500051,2022-09-02,726.18,733.36,727.22,6.14,0,Paid
9000152,500051,2022-12-01,758.63,600.76,594.35,6.42,60,Late
9000153,500051,2023-03-01,770.56,791.09,784.57,6.52,0,Paid
9000154,500052,2022-03-09,5133.06,5220.05,5167.1,52.96,0,Paid
9000155,500052,2022-06-07,5073.12,4986.52,4934.18,52.34,15,Late
9000156,500052,2022-09-05,5375.07,5381.02,5325.57,55.45,0,Paid
9000157,500053,2022-03-05,2072.32,1614.21,1601.98,12.23,45,Late
9000158,500053,2022-06-03,2067.78,2061.39,2049.19,12.2,60,Late
9000159,500053,2022-09-01,2047.73,1627.42,1615.34,12.08,90,Late
9000160,500054,2019-03-25,15491.08,15313.75,15214.22,99.53,0,Paid
9000161,500054,2019-06-23,15412.63,15700.43,15601.4,99.03,0,Paid
9000162,500054,2019-09-21,14876.67,14961.09,14865.51,95.58,0,Paid
9000163,500055,2024-12-15,14816.72,11843.82,11772.95,70.87,90,Late
9000164,500055,2025-03-15,14299.92,13795.87,13727.47,68.4,90,Late
9000165,500055,2025-06-13,15160.67,15265.93,15193.41,72.52,60,Late
9000166,500056,2020-07-21,6626.89,6560.89,6503.24,57.65,0,Paid
9000167,500056,2020-10-19,6601.9,6752.75,6695.32,57.44,0,Paid
9000168,500056,2021-01-17,6750.22,6622.11,6563.39,58.73,0,Paid
9000169,500057,2020-09-02,2916.78,2891.63,2857.31,34.32,0,Paid
9000170,500057,2020-12-01,2886.62,2465.94,2431.98,33.97,5,Late
9000171,500057,2021-03-01,3043.39,2979.06,2943.25,35.81,0,Paid
9000172,500058,2023-06-11,299.72,295.47,292.55,2.92,60,Late
9000173,500058,2023-09-09,301.85,294.73,291.79,2.94,120,Late
9000174,500058,2023-12-08,297.73,245.83,242.93,2.9,90,Late
9000175,500059,2020-10-18,246.28,243.41,241.13,2.28,120,Late
9000176,500059,2021-01-16,240.9,223.07,220.84,2.23,90,Late
9000177,500059,2021-04-16,247.41,252.04,249.75,2.29,120,Late
9000178,500060,2020-10-15,7756.47,7743.51,7657.02,86.48,0,Paid
9000179,500060,2021-01-13,8232.68,8114.39,8022.6,91.79,30,Late
9000180,500060,2021-04-13,8359.86,8444.46,8351.25,93.21,0,Paid
9000181,500061,2021-10-02,8942.85,8969.99,8937.95,32.05,0,Paid
9000182,500061,2021-12-31,9113.47,8990.03,8957.37,32.66,10,Late
9000183,500061,2022-03-31,8903.67,8741.45,8709.54,31.9,0,Paid
9000184,500062,2024-05-12,14833.35,14681.35,14559.96,121.39,0,Paid
9000185,500062,2024-08-10,15247.81,15507.33,15382.55,124.78,0,Paid
9000186,500062,2024-11-08,13961.96,14042.97,13928.72,114.26,0,Paid
9000187,500063,2025-09-18,14252.03,10813.51,10704.12,109.38,90,Late
9000188,500063,2025-12-17,14885.83,11535.07,11420.83,114.25,120,Late
9000189,500063,2026-03-17,14274.17,12122.98,12013.42,109.55,90,Late
9000190,500064,2022-09-06,15368.09,14473.44,14353.44,120.0,45,Late
9000191,500064,2022-12-05,15488.6,15596.6,15475.66,120.94,0,Paid
9000192,500064,2023-03-05,14541.75,11941.25,11827.7,113.55,60,Late
9000193,500065,2025-02-11,5833.49,5857.28,5789.36,67.91,0,Paid
9000194,500065,2025-05-12,5663.55,5227.74,5161.8,65.93,15,Late
9000195,500065,2025-08-10,5622.85,5596.6,5531.14,65.46,0,Paid
9000196,500066,2024-07-12,1779.94,1424.58,1415.19,9.39,10,Late
9000197,500066,2024-10-10,1783.42,1613.87,1604.46,9.41,60,Late
9000198,500066,2025-01-08,1662.37,1623.01,1614.24,8.77,0,Paid
9000199,500067,2024-07-21,880.05,877.8,869.98,7.82,0,Paid
9000200,500067,2024-10-19,873.05,893.37,885.62,7.76,0,Paid
9000201,500067,2025-01-17,894.36,794.81,786.87,7.94,5,Late
9000202,500068,2024-02-14,1805.36,1397.06,1391.06,6.0,15,Late
9000203,500068,2024-05-14,1857.71,1822.84,1816.66,6.18,0,Paid
9000204,500068,2024-08-12,1769.96,1780.42,1774.53,5.89,0,Paid
9000205,500069,2024-09-14,13570.79,13237.96,13184.01,53.94,0,Paid
9000206,500069,2024-12-13,14024.83,11705.28,11649.53,55.75,15,Late
9000207,500069,2025-03-13,13415.53,13195.33,13142.01,53.33,0,Paid
9000208,500070,2019-09-29,1367.07,1362.17,1357.61,4.57,5,Late
9000209,500070,2019-12-28,1351.39,1238.77,1234.26,4.52,45,Late
9000210,500070,2020-03-27,1256.98,1264.06,1259.86,4.2,0,Paid
9000211,500071,2022-03-28,1673.68,1716.17,1701.21,14.97,0,Paid
9000212,500071,2022-06-26,1648.95,1696.27,1681.53,14.74,0,Paid
9000213,500071,2022-09-24,1677.78,1665.88,1650.88,15.0,0,Paid
9000214,500072,2025-07-31,1021.39,1012.54,1003.56,8.99,0,Paid
9000215,500072,2025-10-29,1024.69,1055.29,1046.28,9.02,0,Paid
9000216,500072,2026-01-27,958.8,735.16,726.72,8.44,60,Late
9000217,500073,2024-08-12,6210.55,5089.88,5040.04,49.84,5,Late
9000218,500073,2024-11-10,6230.32,6050.01,6000.01,50.0,0,Paid
9000219,500073,2025-02-08,5798.6,5835.12,5788.59,46.53,0,Paid
9000220,500074,2020-04-14,13526.2,13225.08,13074.82,150.25,0,Paid
9000221,500074,2020-07-13,13399.98,13304.17,13155.32,148.85,0,Paid
9000222,500074,2020-10-11,14065.32,13102.05,12945.8,156.24,90,Late
9000223,500075,2023-09-14,1691.93,1669.79,1662.01,7.78,0,Paid
9000224,500075,2023-12-13,1838.88,1821.88,1813.42,8.46,0,Paid
9000225,500075,2024-03-12,1752.52,1784.52,1776.46,8.06,0,Paid
9000226,500076,2020-07-04,1957.55,1944.28,1932.11,12.17,0,Paid
9000227,500076,2020-10-02,1983.6,1998.9,1986.57,12.33,0,Paid
9000228,500076,2020-12-31,1940.98,1936.59,1924.53,12.07,0,Paid
9000229,500077,2021-01-30,988.2,779.33,774.76,4.56,90,Late
9000230,500077,2021-04-30,1007.1,1035.26,1030.61,4.65,120,Late
9000231,500077,2021-07-29,971.41,886.33,881.85,4.48,90,Late
9000232,500078,2025-10-08,1593.81,1616.2,1604.5,11.7,0,Paid
9000233,500078,2026-01-06,1595.89,1635.33,1623.62,11.72,0,Paid
9000234,500078,2026-04-06,1683.94,1683.53,1671.17,12.36,0,Paid
9000235,500079,2022-06-16,628.07,478.77,475.77,3.0,10,Late
9000236,500079,2022-09-14,626.25,613.64,610.64,3.0,0,Paid
9000237,500079,2022-12-13,632.36,616.21,613.18,3.02,0,Paid
9000238,500080,2020-09-09,15003.05,14506.23,14424.09,82.14,60,Late
9000239,500080,2020-12-08,14789.11,14826.34,14745.37,80.97,0,Paid
9000240,500080,2021-03-08,15042.92,11561.11,11478.75,82.36,5,Late
9000241,500081,2024-11-17,6256.28,5132.83,5058.64,74.19,5,Late
9000242,500081,2025-02-15,5982.57,6003.71,5932.77,70.94,5,Late
9000243,500081,2025-05-16,6384.43,6540.63,6464.92,75.71,0,Paid
9000244,500082,2022-09-25,301.57,306.94,305.2,1.74,0,Paid
9000245,500082,2022-12-24,300.05,295.09,293.37,1.73,0,Paid
9000246,500082,2023-03-24,300.89,294.46,292.73,1.73,10,Late
9000247,500083,2019-10-15,1208.91,1102.84,1093.46,9.38,60,Late
9000248,500083,2020-01-13,1220.51,1206.35,1196.88,9.47,60,Late
9000249,500083,2020-04-12,1261.22,1212.79,1203.0,9.78,45,Late
9000250,500084,2021-05-22,1601.84,1648.0,1639.97,8.02,0,Paid
9000251,500084,2021-08-20,1646.59,1624.1,1615.85,8.25,0,Paid
9000252,500084,2021-11-18,1584.96,1275.29,1267.36,7.94,15,Late
9000253,500085,2022-12-31,1786.15,1765.66,1747.39,18.28,60,Late
9000254,500085,2023-03-31,1739.2,1730.06,1712.26,17.8,0,Paid
9000255,500085,2023-06-29,1753.87,1767.01,1749.06,17.95,0,Paid
9000256,500086,2023-02-01,1796.71,1590.68,1584.42,6.26,10,Late
9000257,500086,2023-05-02,1860.53,1824.97,1818.49,6.48,0,Paid
9000258,500086,2023-07-31,1830.67,1443.72,1437.35,6.38,10,Late
9000259,500087,2025-10-31,1957.04,1913.1,1902.62,10.49,0,Paid
9000260,500087,2026-01-29,1915.59,1771.25,1760.98,10.26,15,Late
9000261,500087,2026-04-29,1845.03,1874.22,1864.33,9.89,0,Paid
9000262,500088,2023-07-05,1242.7,1244.7,1236.88,7.82,0,Paid
9000263,500088,2023-10-03,1159.9,1163.61,1156.31,7.3,0,Paid
9000264,500088,2024-01-01,1194.11,1223.01,1215.5,7.51,0,Paid
9000265,500089,2022-12-22,2289.58,2328.04,2316.82,11.22,0,Paid
9000266,500089,2023-03-22,2360.9,2323.55,2311.98,11.57,0,Paid
9000267,500089,2023-06-20,2480.94,2441.85,2429.69,12.16,0,Paid
9000268,500090,2023-04-05,10557.0,10449.02,10355.68,93.34,0,Paid
9000269,500090,2023-07-04,10321.51,10247.57,10156.31,91.26,0,Paid
9000270,500090,2023-10-02,10423.5,7917.85,7825.69,92.16,30,Late
9000271,500091,2019-04-17,1082.53,854.08,844.59,9.48,120,Late
9000272,500091,2019-07-16,1158.9,956.59,946.44,10.15,60,Late
9000273,500091,2019-10-14,1110.41,861.87,852.15,9.73,120,Late
9000274,500092,2020-11-28,921.81,946.09,940.56,5.53,0,Paid
9000275,500092,2021-02-26,975.31,955.84,949.98,5.85,0,Paid
9000276,500092,2021-05-27,1007.71,1013.4,1007.36,6.05,0,Paid
9000277,500093,2019-10-07,875.03,775.59,768.4,7.19,60,Late
9000278,500093,2020-01-05,849.24,663.95,656.98,6.98,60,Late
9000279,500093,2020-04-04,911.05,922.33,914.84,7.49,45,Late
9000280,500094,2023-10-03,8215.56,6750.46,6716.57,33.89,30,Late
9000281,500094,2024-01-01,8872.58,8763.59,8726.99,36.6,0,Paid
9000282,500094,2024-03-31,8570.77,8573.52,8538.17,35.35,0,Paid
9000283,500095,2023-06-06,7691.57,6521.95,6453.62,68.33,45,Late
9000284,500095,2023-09-04,7655.92,6580.22,6512.21,68.01,45,Late
9000285,500095,2023-12-03,7605.74,7557.47,7489.91,67.56,0,Paid
9000286,500096,2024-10-19,15493.28,15246.79,15138.34,108.45,0,Paid
9000287,500096,2025-01-17,15186.31,12369.69,12263.38,106.3,5,Late
9000288,500096,2025-04-17,14808.78,14975.84,14872.18,103.66,0,Paid
9000289,500097,2025-02-11,10843.86,10904.27,10836.13,68.14,0,Paid
9000290,500097,2025-05-12,11102.37,10980.78,10911.02,69.76,0,Paid
9000291,500097,2025-08-10,11292.6,11574.04,11503.08,70.96,0,Paid
9000292,500098,2023-09-17,1386.37,1320.35,1307.01,13.33,30,Late
9000293,500098,2023-12-16,1352.35,1076.17,1063.17,13.01,60,Late
9000294,500098,2024-03-15,1451.69,1325.8,1311.84,13.96,30,Late
9000295,500099,2024-08-30,5972.57,4971.85,4944.48,27.37,10,Late
9000296,500099,2024-11-28,6190.77,6038.1,6009.72,28.37,0,Paid
9000297,500099,2025-02-26,6112.25,5932.68,5904.67,28.01,5,Late
9000298,500100,2019-04-12,14754.73,14744.51,14628.68,115.82,0,Paid
9000299,500100,2019-07-11,15067.43,15255.81,15137.53,118.28,0,Paid
9000300,500100,2019-10-09,15561.79,13143.54,13021.38,122.16,45,Late
9000301,500101,2024-04-13,2673.28,2114.11,2084.93,29.18,15,Late
9000302,500101,2024-07-12,2568.27,2623.78,2595.75,28.04,0,Paid
9000303,500101,2024-10-10,2452.75,1905.55,1878.77,26.78,10,Late
9000304,500102,2019-09-08,14109.78,13776.91,13627.58,149.33,0,Paid
9000305,500102,2019-12-07,14399.6,14670.93,14518.53,152.4,0,Paid
9000306,500102,2020-03-06,14775.06,14971.36,14814.99,156.37,0,Paid
9000307,500103,2021-06-27,1393.3,1365.29,1350.58,14.71,0,Paid
9000308,500103,2021-09-25,1368.85,1350.57,1336.12,14.45,0,Paid
9000309,500103,2021-12-24,1386.38,1369.77,1355.13,14.64,0,Paid
9000310,500104,2023-08-28,1840.78,1802.88,1785.09,17.79,0,Paid
9000311,500104,2023-11-26,1835.73,1865.02,1847.27,17.75,0,Paid
9000312,500104,2024-02-24,1840.87,1870.12,1852.32,17.8,0,Paid
9000313,500105,2019-03-16,2473.38,2510.02,2502.45,7.56,90,Late
9000314,500105,2019-06-14,2380.33,2446.69,2439.42,7.28,0,Paid
9000315,500105,2019-09-12,2356.91,2380.37,2373.16,7.21,0,Paid
9000316,500106,2023-10-10,5634.09,5714.37,5665.68,48.69,0,Paid
9000317,500106,2024-01-08,5615.1,5756.78,5708.26,48.52,0,Paid
9000318,500106,2024-04-07,6143.0,6161.72,6108.64,53.09,0,Paid
9000319,500107,2021-11-11,1381.78,1376.53,1371.69,4.84,0,Paid
9000320,500107,2022-02-09,1439.53,1443.53,1438.49,5.04,0,Paid
9000321,500107,2022-05-10,1419.91,1155.36,1150.39,4.97,15,Late
9000322,500108,2025-02-10,12200.29,12313.71,12171.98,141.73,0,Paid
9000323,500108,2025-05-11,12006.6,9728.06,9588.58,139.48,30,Late
9000324,500108,2025-08-09,11691.42,11861.56,11725.75,135.82,0,Paid
9000325,500109,2021-07-05,9535.61,9580.3,9542.72,37.59,0,Paid
9000326,500109,2021-10-03,9691.35,9666.43,9628.23,38.2,0,Paid
9000327,500109,2022-01-01,9494.64,9236.13,9198.7,37.42,0,Paid
9000328,500110,2024-11-01,1637.84,1469.07,1460.92,8.15,45,Late
9000329,500110,2025-01-30,1573.63,1592.83,1585.0,7.83,0,Paid
9000330,500110,2025-04-30,1579.03,1299.4,1291.54,7.86,60,Late
9000331,500111,2022-09-08,557.96,571.35,567.42,3.93,0,Paid
9000332,500111,2022-12-07,548.01,562.53,558.67,3.86,0,Paid
9000333,500111,2023-03-07,562.58,562.2,558.23,3.97,0,Paid
9000334,500112,2021-03-27,7779.77,6752.23,6658.42,93.81,15,Late
9000335,500112,2021-06-25,8073.39,6172.37,6075.02,97.35,15,Late
9000336,500112,2021-09-23,7628.89,7438.67,7346.68,91.99,0,Paid
9000337,500113,2024-07-22,985.62,1014.22,1003.18,11.04,0,Paid
9000338,500113,2024-10-20,1010.66,1000.01,988.69,11.32,0,Paid
9000339,500113,2025-01-18,988.09,758.87,747.8,11.07,5,Late
9000340,500114,2022-02-14,12098.69,11806.16,11674.28,131.88,0,Paid
9000341,500114,2022-05-15,11401.87,11418.43,11294.15,124.28,45,Late
9000342,500114,2022-08-13,11499.19,11399.44,11274.1,125.34,0,Paid
9000343,500115,2022-12-10,1265.71,1274.83,1259.86,14.98,10,Late
9000344,500115,2023-03-10,1285.44,1297.2,1281.99,15.21,0,Paid
9000345,500115,2023-06-08,1271.78,1277.71,1262.67,15.05,0,Paid
9000346,500116,2024-02-01,14651.82,12207.91,12119.75,88.16,45,Late
9000347,500116,2024-05-01,14819.89,14643.17,14554.01,89.17,0,Paid
9000348,500116,2024-07-30,15251.63,14981.16,14889.39,91.76,0,Paid
9000349,500117,2025-09-26,5467.11,5544.47,5506.2,38.27,0,Paid
9000350,500117,2025-12-25,5492.91,5227.89,5189.44,38.45,5,Late
9000351,500117,2026-03-25,5274.47,4272.82,4235.89,36.92,45,Late
9000352,500118,2023-08-20,10551.94,10678.59,10554.6,123.99,0,Paid
9000353,500118,2023-11-18,10066.46,9910.96,9792.68,118.28,0,Paid
9000354,500118,2024-02-16,10045.21,9975.73,9857.7,118.03,0,Paid
9000355,500119,2021-10-02,7962.97,7916.44,7859.1,57.33,60,Late
9000356,500119,2021-12-31,8049.81,6762.47,6704.51,57.96,60,Late
9000357,500119,2022-03-31,7892.76,6507.02,6450.2,56.83,90,Late
9000358,500120,2023-01-25,506.44,496.98,495.42,1.56,0,Paid
9000359,500120,2023-04-25,485.66,440.55,439.06,1.49,5,Late
9000360,500120,2023-07-24,470.3,461.77,460.32,1.45,0,Paid
9000361,500121,2023-11-23,1166.07,882.26,869.17,13.09,90,Late
9000362,500121,2024-02-21,1100.66,1072.07,1059.72,12.35,0,Paid
9000363,500121,2024-05-21,1130.03,1136.53,1123.85,12.68,0,Paid
9000364,500122,2021-07-16,626.27,518.26,511.83,6.43,30,Late
9000365,500122,2021-10-14,634.96,506.01,499.49,6.52,45,Late
