loan_id,customer_id,loan_type,loan_amount,outstanding_balance,interest_rate,loan_status,state,origination_date,maturity_date
500086,12027,Auto Loan,66203.94,35066.19,4.18,Fully Paid,New York,01-02-2023,10-12-2032
500087,10055,Auto Loan,68317.36,51877.74,6.43,Closed,Florida,31-10-2025,24-09-2032
500088,11702,Personal Loan,43670.35,25129.8,7.55,Active,North Carolina,05-07-2023,14-06-2027
500089,11405,Equipment Loan,85794.5,17026.3,5.88,Fully Paid,Georgia,22-12-2022,04-10-2037
500090,12056,Business Loan,366068.14,249678.4,10.61,Active,Georgia,05-04-2023,29-10-2052
500091,11461,Personal Loan,40378.99,23246.43,10.51,Defaulted,Georgia,17-04-2019,11-03-2026
500092,12046,Personal Loan,34901.35,14363.02,7.2,Active,New York,28-11-2020,07-10-2030
500093,10338,Auto Loan,31490.22,28201.93,9.86,Defaulted,Massachusetts,07-10-2019,05-09-2025
500094,11578,Mortgage,309413.42,215932.42,4.95,Closed,New Jersey,03-10-2023,20-06-2043
500095,11275,Business Loan,285287.4,116211.96,10.66,Active,Arizona,06-06-2023,30-12-2052
500096,10545,Mortgage,708382.09,590739.13,8.4,Active,Massachusetts,19-10-2024,06-07-2044
500097,12403,Mortgage,406977.65,366749.2,7.54,Active,Michigan,11-02-2025,27-01-2028
500098,11437,Personal Loan,49785.59,30358.38,11.54,Delinquent,Ohio,17-09-2023,11-08-2030
500099,11430,Mortgage,220464.43,126753.13,5.5,Fully Paid,Pennsylvania,30-08-2024,26-03-2054
500100,10683,Mortgage,825965.82,759585.6,9.42,Active,Illinois,12-04-2019,28-12-2038
500101,11912,Business Loan,91996.29,34998.07,13.1,Active,Michigan,13-04-2024,20-02-2034
500102,12680,Business Loan,509055.72,398229.44,12.7,Active,Arizona,08-09-2019,23-08-2022
500103,10224,Business Loan,51409.98,14762.38,12.67,Closed,Washington,27-06-2021,27-05-2027
500104,10649,Auto Loan,64072.76,59679.27,11.6,Closed,Arizona,28-08-2023,12-08-2026
500105,11802,Equipment Loan,87255.51,46714.28,3.67,Active,North Carolina,16-03-2019,28-02-2022
500106,12941,Business Loan,211847.21,91344.86,10.37,Active,Florida,10-10-2023,27-06-2043
500107,10811,Personal Loan,52120.33,42872.99,4.2,Active,Ohio,11-11-2021,11-10-2027
500108,12140,Business Loan,439602.45,232836.4,13.94,Active,Washington,10-02-2025,15-01-2030
500109,10186,Mortgage,350233.6,244467.54,4.73,Active,Michigan,05-07-2021,19-06-2024
500110,10483,Business Loan,59218.78,48917.91,5.97,Active,Illinois,01-11-2024,11-10-2028
500111,10974,Personal Loan,20107.89,14634.53,8.46,Active,Massachusetts,08-09-2022,03-04-2052
500112,11618,Business Loan,289067.31,126449.36,14.47,Fully Paid,Washington,27-03-2021,03-02-2031
500113,10079,Personal Loan,35942.55,26781.03,13.44,Active,New Jersey,22-07-2024,21-06-2030
500114,10461,Mortgage,426300.87,151102.99,13.08,Fully Paid,Pennsylvania,14-02-2022,24-12-2031
500115,11278,Personal Loan,47402.72,43306.14,14.2,Fully Paid,Virginia,10-12-2022,03-11-2029
500116,12304,Mortgage,673444.58,465394.42,7.22,Fully Paid,Washington,01-02-2024,10-12-2033
500117,11288,Equipment Loan,198231.87,66122.19,8.4,Active,California,26-09-2025,05-08-2035
500118,11049,Business Loan,374220.8,74726.24,14.1,Fully Paid,New York,20-08-2023,19-07-2029
500119,12314,Mortgage,283797.56,195399.55,8.64,Defaulted,North Carolina,02-10-2021,26-08-2028
500120,10225,Personal Loan,17787.5,6998.76,3.69,Active,Pennsylvania,25-01-2023,12-10-2042
500121,11955,Personal Loan,40539.41,31100.27,13.47,Active,New Jersey,23-11-2023,05-09-2038
500122,11498,Auto Loan,21955.39,8157.88,12.32,Delinquent,Ohio,16-07-2021,15-06-2027
500123,10372,Personal Loan,55761.16,43021.85,13.41,Active,Virginia,21-01-2022,08-10-2041
500124,10224,Mortgage,450474.81,106429.98,10.86,Defaulted,Washington,16-06-2019,03-03-2039
500125,11205,Equipment Loan,224742.33,82884.88,4.69,Active,Arizona,06-12-2021,05-11-2027
500126,11149,Business Loan,239166.2,159116.3,11.81,Active,Ohio,22-07-2020,26-06-2025
500127,11992,Business Loan,567818,267128.12,12.55,Active,Georgia,25-12-2020,19-11-2027
500128,10504,Mortgage,849783.74,267831.18,14.04,Fully Paid,Virginia,10-12-2023,03-11-2030
500129,10201,Mortgage,388786.95,80001.62,10.04,Active,Pennsylvania,30-11-2019,03-11-2024
500130,12323,Business Loan,512548.82,121943.23,14.27,Active,Arizona,08-10-2020,23-09-2023
500131,11594,Auto Loan,37786.83,11310.59,6.56,Fully Paid,Florida,15-06-2025,30-05-2028
500132,10898,Business Loan,475555.5,221599.89,9.76,Fully Paid,Massachusetts,06-04-2022,22-12-2041
500133,12152,Personal Loan,54133.69,11943.07,13.2,Active,Illinois,06-01-2021,20-10-2035
500134,11472,Personal Loan,16109.58,9659.26,5.21,Fully Paid,New York,08-02-2023,07-01-2029
500135,10387,Mortgage,654351.95,456935.65,12.52,Active,Massachusetts,07-09-2020,07-08-2026
500136,10136,Auto Loan,69307.01,42708.66,12.97,Defaulted,North Carolina,30-07-2020,04-07-2025
500137,12109,Auto Loan,47046.09,41765.26,3.88,Active,Washington,20-02-2024,29-12-2033
500138,10399,Mortgage,657200.87,423989.27,9.6,Closed,Arizona,22-09-2024,27-08-2029
500139,10609,Personal Loan,74023.46,51901.49,9.5,Delinquent,Pennsylvania,06-06-2019,30-04-2026
500140,12952,Mortgage,186399.47,60438.8,4.84,Active,Arizona,06-11-2024,06-10-2030
500141,11264,Equipment Loan,215489.65,149545.8,10.86,Active,New York,19-12-2021,01-10-2036
500142,11091,Mortgage,241123.92,57110.72,11.03,Fully Paid,Ohio,12-03-2023,08-02-2029
500143,11081,Business Loan,135451.23,128533.2,4.54,Fully Paid,Michigan,26-04-2021,20-03-2028
500144,12934,Auto Loan,63633.19,57641.97,6.06,Delinquent,Massachusetts,21-05-2019,30-04-2023
500145,11759,Auto Loan,17499,9022.13,7.04,Active,Illinois,15-02-2019,20-01-2024
500146,12986,Business Loan,174177.84,86606.69,6.14,Delinquent,Illinois,20-06-2025,14-01-2055
500147,11479,Mortgage,221845.97,92450.57,13.7,Active,Pennsylvania,09-07-2023,26-03-2043
500148,12479,Personal Loan,11145.75,4379.62,10.09,Active,Illinois,17-01-2020,12-08-2049
500149,10684,Business Loan,106953.4,91556.17,14.08,Active,Massachusetts,02-06-2022,26-04-2029
500150,11844,Mortgage,426245.78,186874.87,14.02,Defaulted,Texas,24-08-2024,07-06-2039
500151,11493,Auto Loan,16832.08,12186.11,4.31,Active,Massachusetts,19-04-2019,23-03-2024
500152,11596,Equipment Loan,259599.57,104919.46,12.35,Active,Arizona,15-02-2019,28-11-2033
500153,11892,Business Loan,187101.85,141519.99,11.34,Active,New York,01-01-2020,14-10-2034
500154,10143,Mortgage,442836.54,391121.51,7.29,Active,Illinois,23-04-2020,09-01-2040
500155,10601,Personal Loan,11743.17,9306.39,8.41,Fully Paid,Florida,03-04-2021,08-03-2026
500156,11546,Equipment Loan,91289.71,70543.03,5.57,Active,Texas,01-05-2025,10-03-2035
500157,11397,Mortgage,451341.8,412426.11,14.05,Closed,Georgia,18-01-2020,05-10-2039
500158,11251,Auto Loan,48622.05,28156.95,3.75,Fully Paid,Florida,02-04-2019,06-03-2024
500159,10990,Auto Loan,54616.89,28516.15,9.22,Delinquent,Arizona,16-01-2021,25-11-2030
500160,10819,Business Loan,109965.44,35004.23,12.54,Active,Texas,03-08-2020,03-07-2026
500161,10067,Mortgage,500643.94,465259.67,7.33,Closed,Arizona,13-12-2023,16-11-2028
500162,12738,Mortgage,514630.05,100258.69,8.31,Defaulted,North Carolina,13-09-2019,12-08-2025
500163,11971,Auto Loan,22587.55,19552.88,8.37,Fully Paid,Washington,02-11-2022,17-10-2025
500164,12737,Personal Loan,5540.83,4884.46,8.19,Fully Paid,Michigan,15-10-2021,14-09-2027
500165,10702,Mortgage,751635.69,488610.25,10.24,Fully Paid,Virginia,07-09-2022,17-08-2026
500166,12793,Personal Loan,48040.82,29784.75,4.91,Active,Pennsylvania,28-02-2024,27-01-2030
500167,12009,Auto Loan,78595.61,50333.03,3.56,Fully Paid,Illinois,30-10-2021,08-09-2031
500168,10634,Equipment Loan,75617.88,14061.69,7.46,Active,New Jersey,06-03-2021,21-11-2040
500169,12644,Mortgage,335538.22,280426.63,9.98,Active,Illinois,19-07-2020,13-06-2027
500170,11885,Auto Loan,52326.77,20896.72,5.13,Defaulted,Pennsylvania,19-06-2023,23-05-2028
500171,10649,Auto Loan,60587.13,22894.61,13.49,Active,Arizona,24-07-2023,27-06-2028
500172,12903,Auto Loan,33399.69,24543.34,13.11,Delinquent,Texas,25-02-2020,09-02-2023
500173,12954,Mortgage,596303.79,557057.26,8.42,Active,Washington,03-04-2021,13-03-2025
500174,12289,Business Loan,408134.24,80869.11,4.23,Active,Virginia,26-03-2020,18-02-2027
500175,12433,Equipment Loan,217434.8,59479.51,7.93,Delinquent,Georgia,10-08-2019,23-05-2034
500176,10815,Mortgage,674879.03,632204.74,4.63,Active,Florida,23-06-2021,23-05-2027
500177,11272,Auto Loan,76677.29,41156.39,5.36,Fully Paid,Illinois,10-06-2020,26-02-2040
500178,10992,Mortgage,226162.24,181304.31,8.55,Closed,California,30-06-2023,09-06-2027
500179,10320,Auto Loan,82929.72,21617.33,13.53,Active,Michigan,22-03-2025,07-12-2044
500180,10119,Personal Loan,45056.45,22606.95,8.81,Active,Michigan,04-07-2020,03-06-2026
500181,11519,Business Loan,477459.38,82285.89,4.85,Fully Paid,California,09-07-2021,02-06-2028
500182,11276,Mortgage,555742.82,213280.58,4.09,Active,Michigan,29-08-2020,12-06-2035
500183,11541,Equipment Loan,260208.58,243140.05,9.96,Fully Paid,Virginia,17-12-2024,26-11-2028
500184,12995,Auto Loan,30574.83,26512.31,7.27,Fully Paid,California,03-07-2024,02-06-2030
500185,11257,Mortgage,374353.1,243941.67,7.71,Fully Paid,Michigan,10-08-2023,23-05-2038
500186,11591,Business Loan,148126.45,88815.58,5.56,Active,New York,30-06-2022,12-04-2037
500187,11881,Business Loan,292004.94,140474.96,9.79,Closed,Arizona,01-11-2023,16-10-2026
500188,12148,Auto Loan,76173.31,35436.23,10.25,Active,Ohio,07-09-2024,17-07-2034
500189,10619,Mortgage,581731.05,337787.97,12.44,Closed,New York,31-01-2025,10-12-2034
500190,10058,Business Loan,407743.7,373663.81,13.17,Closed,Michigan,26-06-2025,10-06-2028
500191,12561,Auto Loan,33681.37,17749.8,3.6,Active,Arizona,23-03-2019,29-01-2029
500192,12079,Auto Loan,25818.31,22160.49,5.81,Active,New Jersey,16-04-2025,23-02-2035
500193,11397,Auto Loan,17634.37,2729.6,3.56,Fully Paid,Georgia,01-09-2019,14-06-2034
500194,12329,Personal Loan,54577.41,39635.46,14.16,Active,North Carolina,01-09-2024,19-05-2044
500195,12277,Mortgage,342978.46,211047.5,5.4,Active,Michigan,24-06-2024,18-01-2054
500196,11844,Mortgage,452633.19,173977.4,5.01,Active,Texas,30-07-2019,16-04-2039
500197,12470,Mortgage,320991.41,247524,6.44,Defaulted,Massachusetts,03-12-2020,29-06-2050
500198,12599,Equipment Loan,99424.09,47530.69,6.25,Fully Paid,New Jersey,12-06-2021,06-05-2028
500199,10889,Business Loan,190144.49,145481.59,10.02,Fully Paid,California,18-08-2021,23-07-2026
500200,11928,Auto Loan,32796.51,8569.64,10.9,Active,Georgia,29-09-2023,28-08-2029
500201,11256,Auto Loan,51109.59,29325.29,12.39,Closed,Texas,15-09-2022,20-08-2027
500202,12615,Business Loan,524725.27,488405.52,6.46,Active,Texas,30-01-2020,17-10-2039
500203,11914,Business Loan,297961.37,243457.78,12.68,Closed,Texas,04-07-2020,13-06-2024
500204,11446,Personal Loan,54882.63,48502.34,10.08,Fully Paid,Texas,05-01-2022,15-12-2025
500205,10829,Personal Loan,16705.57,6383.03,8.84,Fully Paid,Michigan,01-04-2019,17-12-2038
500206,11570,Mortgage,838366.63,739832.71,3.55,Active,Washington,02-07-2025,16-06-2028
500207,10464,Auto Loan,33431.05,28251.33,5.33,Active,Michigan,21-01-2021,21-12-2026
500208,12286,Auto Loan,37822.16,9477.18,8.41,Delinquent,Pennsylvania,12-04-2022,23-01-2037
500209,11876,Mortgage,518761.36,250187.68,7.56,Active,Pennsylvania,05-02-2023,18-11-2037
500210,10358,Mortgage,571710.6,207236.51,9.99,Active,Georgia,28-03-2022,04-02-2032
500211,11179,Mortgage,328108.32,259054.3,5.52,Defaulted,New Jersey,30-11-2020,04-11-2025
500212,12511,Auto Loan,36367.52,10365.16,12.5,Active,Ohio,17-08-2019,25-06-2029
500213,12178,Auto Loan,60229.32,42862.81,7.41,Active,Georgia,18-04-2020,18-03-2026
500214,12584,Personal Loan,35848.97,16370.22,9.9,Defaulted,Georgia,05-02-2023,10-01-2028
500215,11456,Business Loan,347098.84,283598.65,5.67,Active,Virginia,03-12-2024,12-11-2028
500216,11150,Mortgage,644634.61,543438.4,9.25,Active,Georgia,01-06-2025,14-03-2040
500217,11422,Business Loan,304108.58,254773.21,10.32,Active,California,03-07-2023,06-06-2028
500218,12518,Mortgage,626347.47,180709.71,10.97,Fully Paid,Virginia,10-08-2020,26-07-2023
500219,11415,Mortgage,633338.88,157686.07,7.5,Active,Washington,07-04-2024,24-12-2043
500220,11541,Business Loan,376275.12,105651.43,8.66,Active,Virginia,07-04-2019,13-02-2029
500221,10957,Mortgage,214002.82,91375.8,13.86,Active,Pennsylvania,14-12-2023,07-11-2030
500222,11927,Mortgage,780495.7,571330.43,4.84,Fully Paid,Pennsylvania,07-11-2019,15-09-2029
500223,10921,Mortgage,585930.02,281811.63,7.95,Fully Paid,Florida,06-12-2020,02-07-2050
500224,12357,Personal Loan,66025.01,46805.8,10.47,Fully Paid,Michigan,13-11-2021,26-08-2036
500225,12239,Auto Loan,74748.1,52866.44,8.16,Active,Michigan,15-08-2021,25-07-2025
500226,12026,Mortgage,567437.35,251675.15,13.48,Defaulted,Georgia,03-04-2022,25-02-2029
500227,11602,Mortgage,622421.75,496633.03,10.88,Closed,Washington,27-02-2023,14-11-2042
500228,12430,Auto Loan,81445.37,41329.01,7.13,Active,Florida,15-08-2022,20-07-2027
500229,11048,Mortgage,791828.66,277093.75,8.5,Active,Pennsylvania,04-06-2023,19-02-2043
500230,10954,Mortgage,633078.22,599256,7.2,Active,New Jersey,14-05-2020,23-04-2024
500231,11076,Personal Loan,25774.45,4161.33,13.29,Active,Arizona,04-09-2021,04-08-2027
500232,11296,Personal Loan,52960.11,37496.32,7.24,Active,Michigan,04-08-2023,14-07-2027
500233,11734,Mortgage,382422.69,123093.84,7.51,Active,California,30-07-2022,04-07-2027
500234,12467,Business Loan,478865.39,299621.09,10.32,Fully Paid,Ohio,17-04-2023,02-01-2043
500235,11222,Mortgage,379829.87,189888.02,8.75,Active,Ohio,02-04-2024,25-02-2031
500236,10307,Mortgage,839101.57,449620.89,9.04,Fully Paid,Virginia,03-10-2022,27-08-2029
500237,10499,Mortgage,706188.23,284240.15,6.91,Defaulted,Arizona,15-11-2025,24-09-2035
500238,10666,Personal Loan,68696.8,52082.91,7.74,Fully Paid,Massachusetts,23-05-2022,02-05-2026
500239,11498,Mortgage,512013.04,499748.51,12.88,Active,Ohio,13-06-2020,22-04-2030
500240,11438,Mortgage,611342.7,124123.78,12.84,Active,Georgia,04-12-2024,19-11-2027
500241,10039,Auto Loan,68385.31,19973.11,13.96,Defaulted,Ohio,26-03-2024,11-03-2027
500242,12529,Personal Loan,37414.47,17583.28,13.21,Delinquent,Ohio,07-11-2022,17-10-2026
500243,11535,Business Loan,489249.12,296982.44,12.05,Active,Virginia,29-06-2025,08-05-2035
500244,12867,Mortgage,566506.16,466444.19,9.19,Active,California,14-11-2021,19-10-2026
500245,10421,Business Loan,522374.66,225579.09,4.65,Active,Virginia,09-08-2024,26-04-2044
500246,12299,Mortgage,687712.18,126341.14,5.83,Active,Ohio,29-10-2021,07-09-2031
500247,12681,Auto Loan,44477.56,28769.1,6.84,Active,New Jersey,14-02-2019,29-01-2022
500248,10748,Auto Loan,35432.34,13926.04,11.66,Active,Ohio,16-05-2023,31-01-2043
500249,10283,Mortgage,248966.64,140877.82,12.36,Active,New York,01-06-2025,01-05-2031
500250,12956,Business Loan,444499.43,275309.17,4.78,Active,Illinois,18-08-2022,23-07-2027
500251,12910,Mortgage,155761.5,150989.11,12.16,Fully Paid,Ohio,31-05-2021,05-05-2026
500252,11392,Personal Loan,7119.31,1196.12,4.47,Active,California,09-04-2025,25-12-2044
500253,11840,Personal Loan,74347.48,60656.51,6.74,Closed,New York,20-03-2023,11-02-2030
500254,12260,Equipment Loan,230015.71,172050.01,7.95,Active,Florida,05-02-2025,15-01-2029
500255,12440,Auto Loan,82891.52,15743.41,11.87,Closed,New Jersey,31-10-2023,24-09-2030
500256,12401,Auto Loan,80231.18,13342.99,12.74,Active,Michigan,22-06-2022,21-05-2028
500257,12326,Personal Loan,30282.58,16554.39,8.74,Active,Washington,15-01-2019,02-10-2038
500258,11540,Mortgage,772379.82,684307.7,13.36,Fully Paid,Texas,26-12-2023,05-12-2027
500259,12916,Auto Loan,71803.77,43542.52,9.26,Active,Georgia,28-11-2025,07-11-2029
500260,12824,Mortgage,268978.67,258364.48,5.31,Defaulted,Virginia,28-01-2021,02-01-2026
500261,11429,Business Loan,196222.83,127580.63,13.03,Defaulted,Georgia,24-11-2019,19-06-2049
500262,12794,Mortgage,381272.03,310178.59,11.44,Fully Paid,Florida,08-11-2024,24-10-2027
500263,12409,Business Loan,322866.77,174800.71,6.55,Delinquent,Massachusetts,12-04-2021,19-02-2031
500264,12926,Mortgage,291696.88,110725.6,10.8,Fully Paid,Georgia,03-11-2025,16-08-2040
500265,10579,Mortgage,243939.34,90918.23,10.89,Active,Michigan,04-04-2025,29-10-2054
500266,11836,Equipment Loan,275177.58,148565.32,6.03,Fully Paid,Massachusetts,15-09-2025,15-08-2031
500267,10386,Mortgage,652142.48,212335.86,4.2,Active,California,01-08-2025,25-06-2032
500268,11789,Personal Loan,73190.89,56429.5,11.97,Active,Illinois,03-03-2023,10-02-2027
500269,12879,Equipment Loan,96767.04,84677.87,11.95,Active,New Jersey,13-09-2025,07-08-2032
500270,10785,Personal Loan,61008.88,18155.48,13.28,Active,Pennsylvania,21-10-2019,29-08-2029
500271,12926,Auto Loan,44733.7,25558.18,8.96,Delinquent,Georgia,22-03-2023,13-02-2030
500272,11235,Mortgage,556545.72,309977.23,9.3,Defaulted,Michigan,07-02-2021,17-01-2025
500273,12216,Mortgage,700774.64,221724.46,7.67,Active,Texas,14-04-2025,26-01-2040
500274,10041,Mortgage,801459.53,668931.67,9.59,Active,New York,24-09-2020,08-07-2035
500275,12132,Equipment Loan,199128.92,61613.19,8.29,Delinquent,Georgia,03-12-2024,20-08-2044
500276,12337,Equipment Loan,37687.29,16149.61,8.7,Active,North Carolina,27-03-2021,11-03-2024
500277,10441,Personal Loan,68253.57,23386.34,11.49,Delinquent,Ohio,01-02-2022,06-01-2027
500278,11920,Mortgage,694081.83,161621.88,7.76,Active,Illinois,05-08-2023,29-06-2030
